,address,lat,long
711,1 BEACH RD,1.295097408,103.8540683
1541,1 BEDOK STH AVE 1,1.32085209,103.9337211
234,1 CHAI CHEE RD,1.327968792,103.922716
6561,1 CHANGI VILLAGE RD,1.388546562,103.9878045
2749,1 DELTA AVE,1.292075251,103.8285841
1383,1 DOVER RD,1.302525747,103.7832732
2812,1 EAST COAST RD,1.311762898,103.9231131
2835,1 EVERTON PK,1.277426543,103.8400012
800,1 GHIM MOH RD,1.312879757,103.786855
1631,1 HAIG RD,1.311290918,103.8977034
538,1 HOUGANG AVE 3,1.364130973,103.8930013
327,1 JLN BT MERAH,1.286441576,103.808287
486,1 JLN PASAR BARU,,
3776,1 KG KAYU RD,1.303557697,103.8837964
970,1 LOR 7 TOA PAYOH,1.339430335,103.8534428
1398,1 LOR LEW LIAN,1.350867126,103.8753439
2020,1 MARINE TER,1.304829022,103.918615
1024,1 MARSILING DR,1.440671099,103.7757399
7178,1 PINE CL,1.307870562,103.8831922
1604,1 QUEEN'S RD,1.317266295,103.8067829
1227,1 REDHILL CL,1.284255651,103.8178251
2411,1 ROCHOR RD,1.303022984,103.8530387
2035,1 SELETAR WEST FARMWAY 6,,
1728,1 ST. GEORGE'S RD,1.323402637,103.8616308
405,1 TECK WHYE AVE,1.382538829,103.7517109
1583,1 TELOK BLANGAH CRES,1.279456601,103.8178976
1607,1 TG PAGAR PLAZA,1.275154977,103.8423932
2839,1 TIONG BAHRU RD,1.286136936,103.8330279
4074,1 TOH YI DR,1.339581559,103.7745863
5207,1 UPP ALJUNIED LANE,1.334955931,103.881581
7367,10 CHAI CHEE RD,1.327275724,103.9248036
1292,10 EUNOS CRES,1.322286559,103.9027205
1750,10 GHIM MOH RD,,
1358,10 GLOUCESTER RD,1.313887882,103.8522269
1630,10 HAIG RD,1.314846411,103.895865
2477,10 HOLLAND AVE,1.308149971,103.7942752
2617,10 JLN BATU,1.302012898,103.8829229
6480,10 JLN BT HO SWEE,1.28745837,103.8326758
1936,10 JLN KUKOH,1.286973834,103.8390758
4735,10 JLN RUMAH TINGGI,1.288200189,103.8083694
1469,10 JOO SENG RD,1.334618334,103.880165
6610,10 LOR 7 TOA PAYOH,1.337165276,103.8572288
1044,10 MARSILING DR,1.440805674,103.7773186
2426,10 PINE CL,1.309152394,103.8822425
1590,10 REDHILL CL,1.285595165,103.8155474
396,10 SELEGIE RD,1.303708794,103.8505372
2701,10 ST. GEORGE'S RD,1.323746488,103.8634122
586,10 TEBAN GDNS RD,,
407,10 TECK WHYE AVE,1.380470551,103.7552111
2273,10 TELOK BLANGAH CRES,1.277731532,103.8197694
4404,10 TOH YI DR,1.337539566,103.7731611
2612,10 UPP BOON KENG RD,,
632,10 YUNG KUANG RD,,
151,100 BEDOK NTH AVE 4,1.334355934,103.9390327
1758,100 C'WEALTH CRES,1.307705276,103.8012725
966,100 LOR 1 TOA PAYOH,1.339564005,103.8485857
2995,100 WHAMPOA DR,1.320779477,103.8543487
1365,101 AH HOOD RD,1.32739679,103.844481
1633,101 ALJUNIED CRES,1.320922753,103.883352
115,101 ANG MO KIO AVE 3,1.370261584,103.8394679
8152,101 BEDOK NTH AVE 4,1.334484667,103.9379247
2256,101 BEDOK RESERVOIR RD,1.328449133,103.9099374
3335,101 BISHAN ST 12,1.344859158,103.8484008
2384,101 BT BATOK WEST AVE 6,1.346706361,103.7469207
1226,101 BT PURMEI RD,1.271462566,103.8256835
840,101 C'WEALTH CRES,1.308051592,103.8008428
1276,101 CLEMENTI ST 14,1.322089368,103.7689334
3039,101 GANGSA RD,1.379164316,103.7674393
370,101 HENDERSON CRES,1.290717998,103.8216252
2293,101 HOUGANG AVE 1,1.354937478,103.8913606
745,101 JLN RAJAH,1.328714784,103.8505453
592,101 JURONG EAST ST 13,1.337011008,103.7387873
4198,101 LENGKONG TIGA,1.325159834,103.9108888
3633,101 PASIR RIS ST 12,1.367050215,103.9581819
996,101 POTONG PASIR AVE 1,1.333157101,103.8683804
7230,101 RIVERVALE WALK,1.382764289,103.899272
2204,101 SERANGOON NTH AVE 1,1.37103632,103.8703609
4093,101 SIMEI ST 1,1.340849911,103.9514337
2484,101 TAMPINES ST 11,1.347398708,103.9452924
4410,101 TECK WHYE LANE,1.377889646,103.7542399
3119,101 TOWNER RD,1.31942539,103.8610875
742,101 WHAMPOA DR,1.320417102,103.8538139
2509,101 WOODLANDS ST 13,1.435981597,103.7819298
1048,101 YISHUN AVE 5,1.430514364,103.8276508
5423,101A LOR 2 TOA PAYOH,1.339741267,103.8472642
7871,101A PUNGGOL FIELD,1.397946168,103.9059451
5366,101B LOR 2 TOA PAYOH,1.339598845,103.8476054
7934,101B PUNGGOL FIELD,1.397847151,103.9064361
7898,101C PUNGGOL FIELD,1.398090458,103.9065693
7958,101D PUNGGOL FIELD,1.398484785,103.9061439
502,102 ALJUNIED CRES,1.320480871,103.8824728
5209,102 ANG MO KIO AVE 3,1.370650098,103.8394103
1543,102 BEDOK NTH AVE 4,1.333906548,103.9374584
3699,102 BEDOK RESERVOIR RD,1.328491877,103.9092652
3287,102 BISHAN ST 12,1.345143123,103.8479908
1910,102 BT BATOK WEST AVE 6,1.347458339,103.7474733
329,102 BT PURMEI RD,1.27176738,103.826622
839,102 C'WEALTH CRES,1.307824649,103.8006298
1960,102 CLEMENTI ST 14,1.322285572,103.7692019
3348,102 GANGSA RD,1.379107628,103.7681538
1599,102 HENDERSON CRES,1.290366187,103.8215771
2290,102 HOUGANG AVE 1,1.354964463,103.8908551
2702,102 JLN DUSUN,1.327868743,103.8442096
2014,102 JLN RAJAH,1.328223064,103.8515198
1665,102 JURONG EAST ST 13,1.336096579,103.7382192
4234,102 LENGKONG TIGA,1.325579307,103.9106575
4174,102 PASIR RIS ST 12,1.367484273,103.9580411
997,102 POTONG PASIR AVE 1,1.333690127,103.8688106
7030,102 RIVERVALE WALK,1.38180761,103.9008932
856,102 SERANGOON NTH AVE 1,1.370843273,103.8711536
4180,102 SIMEI ST 1,1.34134725,103.9513551
874,102 TAMPINES ST 11,1.346716163,103.9455214
4365,102 TECK WHYE LANE,1.377082841,103.7543944
2463,102 TOWNER RD,1.320586095,103.862002
2937,102 WOODLANDS ST 13,1.436082949,103.7811996
8004,102A PUNGGOL FIELD,1.398833183,103.9057836
7872,102B PUNGGOL FIELD,1.399085258,103.9054714
7759,102C PUNGGOL FIELD,1.398761278,103.904939
7930,102D PUNGGOL FIELD,1.398480708,103.9052498
748,103 AH HOOD RD,1.327962675,103.844827
83,103 ANG MO KIO AVE 3,1.371016578,103.8393048
1147,103 BEDOK NTH AVE 4,1.333482591,103.9375425
1556,103 BEDOK RESERVOIR RD,1.328770222,103.9093814
3412,103 BISHAN ST 12,1.345512491,103.8483142
293,103 BT BATOK CTRL,1.348223682,103.7480345
2902,103 BT PURMEI RD,1.272085585,103.8254956
475,103 CLEMENTI ST 14,1.322588548,103.7691762
307,103 DEPOT RD,1.28131575,103.8078619
3893,103 GANGSA RD,1.378670708,103.7685384
371,103 HENDERSON CRES,1.289742097,103.8213757
1310,103 HOUGANG AVE 1,1.355282234,103.8903601
744,103 JLN RAJAH,1.327341433,103.8527807
617,103 JURONG EAST ST 13,1.33668715,103.7380592
4197,103 LENGKONG TIGA,1.325855463,103.9105989
4424,103 PASIR RIS ST 12,1.367695081,103.9584042
1811,103 POTONG PASIR AVE 1,1.334113387,103.8695237
6934,103 RIVERVALE WALK,1.382911467,103.9012086
3205,103 SERANGOON NTH AVE 1,1.37067353,103.8702639
2141,103 SPOTTISWOODE PK RD,1.274660969,103.8352798
1427,103 TAMPINES ST 11,1.347696625,103.9462299
4315,103 TECK WHYE LANE,1.377130782,103.753556
1369,103 TOWNER RD,1.320643815,103.8616341
2511,103 WOODLANDS ST 13,1.436621232,103.7809767
8165,103 YISHUN RING RD,1.43136935,103.8288928
7111,103A DEPOT RD,1.280701976,103.8133534
8051,103A EDGEFIELD PLAINS,1.398255318,103.904754
7083,103B DEPOT RD,1.280736924,103.8131357
7828,103B EDGEFIELD PLAINS,1.397731275,103.9046854
8130,103C EDGEFIELD PLAINS,1.397266608,103.9045384
2424,104 ALJUNIED CRES,1.320068866,103.8828181
136,104 BEDOK NTH AVE 4,1.333298521,103.9366015
2255,104 BEDOK RESERVOIR RD,1.329245367,103.9099237
3488,104 BISHAN ST 12,1.345675021,103.8480329
1905,104 BT BATOK CTRL,1.348995003,103.7472582
362,104 BT PURMEI RD,1.272398536,103.8256255
2756,104 CLEMENTI ST 14,1.322949685,103.7691892
3237,104 GANGSA RD,1.378803995,103.7679688
1932,104 HENDERSON CRES,1.289369275,103.8215381
