,town_geocode
0,309 ANG MO KIO AVE 1unavailable
1,"('1.36619678831054', '103.841505011903')"
2,"('1.369196965617', '103.841666636086')"
3,"('1.36844644010937', '103.844516260527')"
4,"('1.36682360708102', '103.83649123895')"
5,"('1.36834606813391', '103.837196046409')"
6,"('1.36569665029696', '103.844347269095')"
7,"('1.36558833593063', '103.840518883254')"
8,"('1.36598198004505', '103.840654039612')"
9,247 ANG MO KIO AVE 3unavailable
10,"('1.36559244608528', '103.848386744168')"
11,252 ANG MO KIO AVE 4unavailable
12,"('1.36604808445916', '103.838122716883')"
13,"('1.36875041500147', '103.837993360863')"
14,"('1.3665990830055', '103.846874423696')"
15,"('1.36664972640598', '103.850133665442')"
16,"('1.3737170825368', '103.835610469339')"
17,"('1.37045937010888', '103.837419259859')"
18,"('1.36837474759489', '103.849151113749')"
19,"('1.36748702509964', '103.849651723914')"
20,"('1.36709586875167', '103.84966230288')"
21,"('1.36970563478325', '103.843515981311')"
22,"('1.36989498895756', '103.842059049722')"
23,"('1.37039791675237', '103.841878840032')"
24,"('1.37083202800001', '103.843546990613')"
25,"('1.37122322102767', '103.843593321222')"
26,"('1.37164990020956', '103.843644176374')"
27,"('1.36126901451361', '103.854642365822')"
28,"('1.36167767060852', '103.854726492538')"
29,"('1.36157912717139', '103.853805386957')"
30,"('1.36495953274783', '103.855197097728')"
31,"('1.3649460137791', '103.854043379775')"
32,"('1.36534669720177', '103.85415182597')"
33,"('1.36605027829032', '103.854168309853')"
34,"('1.36565326940253', '103.855232195496')"
35,"('1.36604388871674', '103.855368968681')"
36,"('1.36660045321147', '103.855578790668')"
37,"('1.36848406233048', '103.855468149019')"
38,"('1.36770367670019', '103.854214321442')"
39,"('1.36807652285135', '103.854353042615')"
40,"('1.3678915069194', '103.85345502653')"
41,"('1.36860660305158', '103.850808805402')"
42,"('1.36912241721255', '103.851616057064')"
43,"('1.36581960538764', '103.857061606231')"
44,"('1.36346600647245', '103.856702918462')"
45,"('1.36275784702216', '103.858015323667')"
46,"('1.3697435855576', '103.856023138277')"
47,"('1.37030352965928', '103.853455898206')"
48,455 ANG MO KIO AVE 10unavailable
49,"('1.3662010408294', '103.857200967235')"
50,"('1.36694793518613', '103.857487648675')"
51,"('1.36984837555524', '103.859404131956')"
52,"('1.37081626777721', '103.859192334256')"
53,"('1.37123613284274', '103.859192016193')"
54,"('1.37099810674697', '103.857856391877')"
55,"('1.37559336678106', '103.853347801104')"
56,"('1.37405846295585', '103.854168170426')"
57,"('1.38104134784496', '103.835131744823')"
58,"('1.38020079047279', '103.83575571651')"
59,"('1.37986658053966', '103.835976650638')"
60,"('1.37858209980487', '103.836760311526')"
61,"('1.37829205312001', '103.837251895809')"
62,"('1.3748597302123', '103.850224901404')"
63,"('1.37546163119278', '103.848942047568')"
64,"('1.37939470957037', '103.839157231326')"
65,"('1.38046758670091', '103.838816721629')"
66,"('1.3733782941643', '103.853042534069')"
67,"('1.37274887735559', '103.850191392582')"
68,"('1.3775062692911', '103.840557182306')"
69,"('1.37473841331656', '103.855876768354')"
70,"('1.37291376311161', '103.85704609864')"
